"shot_id","EVENTMSGTYPE","game_clock","quarter","PLAYER1_ID","shot_clock"
19,1,555.67,1,8,12.35
23,6,504.47,1,2,14.87
24,6,493.55,1,6,15.58
29,6,446.64,1,15,4.09
32,1,417.2,1,11,11
35,6,387.57,1,22,18.43
39,1,345.69,1,7,12.57
42,1,321.33,1,11,3.84
44,1,300.26,1,2,10.34
49,6,229.38,1,5,11.23
55,6,174.61,1,12,8.94
76,6,680.98,2,6,11.08
79,1,635.77,2,12,3.68
88,6,513.78,2,5,13.98
95,6,457.18,2,6,5.35
97,1,444.22,2,5,13.58
99,1,413.38,2,7,16.6
109,6,251.58,2,15,13.22
122,1,108.34,2,8,3.38
126,6,68.5,2,18,18.24
128,6,39.81,2,15,15.13
137,1,612.26,3,15,19.16
142,6,560.46,3,7,16.56
149,6,483.94,3,21,5.97
153,6,420.55,3,6,18.06
164,1,289.98,3,17,9.26
166,6,262.86,3,2,0.92
168,6,252.33,3,17,16.99
170,1,236.83,3,7,13.09
172,1,208.81,3,15,5.4
174,6,195.49,3,12,15.19
186,1,48.47,3,12,11.18
197,6,647.52,4,5,6.87
199,1,623.7,4,12,14.42
217,6,396.03,4,18,17.19
219,1,378.71,4,17,20.42
225,1,318.18,4,2,1.66
226,6,296.91,4,17,7.18
230,6,249.19,4,2,13.9
232,1,211.36,4,6,14.96
234,1,176.89,4,11,14.75
238,6,118.42,4,11,20.05
239,6,105.18,4,18,13.08
244,6,21.54,4,15,14.3
